Dia,Integral_Frequencia,Integral_Lanche_MH,Integral_Lanche_6H,Integral_Refeicao,Integral_Reposicao_Refeicao,Integral_Sobremesa,Integral_Reposicao_Sobremesa,P1_Frequencia,P1_Lanche_RH,P1_Lanche_6H,P1_Refeicao,P1_Reposicao_Refeicao,P1_Sobremesa,P1_Reposicao_Sobremesa,Inter_Frequencia,Inter_Lanche_RH,Inter_Lanche_6H,Inter_Refeicao,Inter_Reposicao_Refeicao,Inter_Sobremesa,Inter_Reposicao_Sobremesa,P3_Frequencia,P3_Lanche_RH,P3_Lanche_6H,P3_Refeicao,P3_Reposicao_Refeicao,P3_Sobremesa,P3_Reposicao_Sobremesa,Doce_Integral,Doce_P1,Doce_Inter,Doce_P3
1,,,,,,,,156,145,156,21,156,0,,,,,,,,191,186,191,38,191,0,,X,X,,,
2,,,,,,,,225,214,225,25,225,28,,,,,,,,231,226,231,30,231,30,,,,,,
3,,,,,,,,234,222,234,38,234,30,,,,,,,,240,234,240,46,240,39,,,,,,
4,,,,,,,,217,206,217,30,217,40,,,,,,,,235,229,235,38,235,45,,,,,,
5,,,,,,,,200,189,200,29,200,39,,,,,,,,228,223,228,39,228,39,,,,,,
6,,,,,,,,200,189,200,30,200,30,,,,,,,,203,199,203,45,203,39,,X,X,,,
7,,,,,,,,95,92,95,27,95,32,,,,,,,,70,69,70,21,70,11,,,,,,
8,,,,,,,,175,164,175,30,175,0,,,,,,,,207,202,207,40,207,0,,X,,,,
9,,,,,,,,217,206,217,40,217,40,,,,,,,,245,239,245,40,245,40,,,,,,
10,,,,,,,,246,235,246,40,246,41,,,,,,,,246,241,246,43,246,43,,,,,,
11,,,,,,,,215,203,215,38,215,42,,,,,,,,198,187,198,36,198,21,,,,,,
12,,,,,,,,220,209,220,38,220,0,,,,,,,,226,221,226,32,226,0,,X,X,,,
13,,,,,,,,230,219,230,40,230,35,,,,,,,,242,236,242,35,242,31,,,,,,
14,,,,,,,,234,223,234,41,234,40,,,,,,,,237,231,237,40,237,41,,,,,,
15,,,,,,,,228,217,228,34,228,32,,,,,,,,246,240,246,46,246,42,,,,,,
16,,,,,,,,200,190,200,39,200,45,,,,,,,,217,213,217,40,217,43,,,,,,
17,,,,,,,,222,211,222,35,222,40,,,,,,,,216,211,216,39,216,42,,,,,,
18,,,,,,,,238,226,238,39,238,45,,,,,,,,226,220,226,40,226,36,,,,,,
19,,,,,,,,203,192,203,29,203,32,,,,,,,,227,221,227,30,227,45,,,,,,
20,,,,,,,,220,210,220,30,220,40,,,,,,,,224,218,224,38,224,49,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,0,0,0,0,0,0,0,4373,4149,4373,709,4373,622,,0,0,0,0,0,0,0,4617,4509,4617,800,4617,642,,,,,
